Age,Sex,mean,sd
3,Female,10.1,1.6
4,Female,14.9,1.6
5,Female,17.4,1
6,Female,18,1
7,Female,18.9,1.1
8,Female,19.5,1.2
9,Female,20,1.2
10,Female,20.2,1.2
11,Female,21.1,1.4
12,Female,21.7,1.5
13,Female,22.1,1.6
14,Female,22.6,1.7
15,Female,22.9,1.7
16,Female,22.9,1.8
17,Female,23.6,2.1
18,Female,23.8,2.1
19,Female,24.2,2.2
20,Female,24.7,2.5
21,Female,24.5,2.5
22,Female,25.2,2.7
23,Female,25.4,2.9
24,Female,25.7,3
3,Male,10.1,2
4,Male,16.1,2.7
5,Male,19.2,2.3
6,Male,21.7,2
7,Male,23.4,1.9
8,Male,24.7,1.8
9,Male,26.1,1.9
10,Male,26.7,2
11,Male,28.2,2
12,Male,29.3,2.3
13,Male,29.8,2.4
14,Male,30.4,2.5
15,Male,31.2,2.7
16,Male,31.5,2.4
17,Male,32.2,2.6
18,Male,32.5,2.8
19,Male,32.9,3
20,Male,33.6,3
21,Male,34.1,3.5
22,Male,34.5,3.6
23,Male,34.9,3.8
24,Male,35.3,3.9
