Animal ID,Sex,Chip ID,Genotype,DOB,6/17/24,6/20/24,6/27/24,7/1/24,7/8/24,7/11/24,7/17/24,7/31/24
P241263-1,F,xx701,Control,3/30/24,21,20.7,21,20.8,21,20.6,20.7,21
P241263-2,F,xx821,Control,3/30/24,21.3,20.8,21.6,21,22.2,21.9,22.2,23.8
P241263-3,F,xx940,Control,3/30/24,21.1,20.7,21.5,20.7,21.5,20.7,20.8,22.2
P241261-1,F,xx963,Control,3/30/24,19.5,19.5,20.2,19.4,19.9,19.6,20.7,20.6
P241261-2,F,xx010,Control,3/30/24,20.9,21.4,21.5,21.8,21.5,21.2,21.7,22.5
P241261-3,F,xx704,Control,3/30/24,22.2,21.5,22.6,21.5,22.3,22.8,21.5,23.7
P241255-1,F,xx400,Control,4/1/24,19.6,19.8,20,19.6,20,19.4,19.4,20.5
P241255-2,F,xx962,Control,4/1/24,20.7,21.3,21,20.8,21.4,21,21,21.9
P241259-1,F,xx807,LBN,3/30/24,19.8,19.2,20,20.4,20.5,20.1,20.3,20.8
P241259-2,F,xx709,LBN,3/30/24,19.3,17.7,18.7,18.6,19.4,19.1,19.6,20.3
P241259-3,F,xx237,LBN,3/30/24,19.9,19,20,20.2,20,20.1,20.1,21.5
P241259-4,F,xx949,LBN,3/30/24,21.1,20.3,21.3,21.1,21.8,21,21.3,21.5
P241257-1,F,xx265,LBN,3/30/24,19.1,19.2,19.8,19.6,19.9,19.5,19.7,20.3
P241257-2,F,xx964,LBN,3/30/24,17.8,17.6,18,18.3,18.5,18.5,18.5,19
P241265-1,F,xx069,LBN,4/1/24,19.5,19.5,20.4,20,20.7,20.5,20.3,20.5
P241265-2,F,xx227,LBN,4/1/24,19.4,19.5,19.6,19.9,19.8,20,20,20.9
P241162-2,M,xx873,Control,3/30/24,24.4,23.9,24.7,24.2,25,24.4,25,24.7
P241260-1,M,xx823,Control,3/30/24,27.2,26.2,27.7,27.3,28,28.1,28.2,28.4
P241260-2,M,xx402,Control,3/30/24,25.2,24.7,25.4,25.4,26.1,26.5,26.2,26.8
P241260-3,M,xx643,Control,3/30/24,26.4,26.2,27,26.7,27.6,27.5,26.5,27
P241254-1,M,xx674,Control,4/1/24,28.4,28.5,28.7,28.3,29.4,29.5,29.5,29.6
P241254-2,M,xx414,Control,4/1/24,27.5,27.3,28.5,28.8,29.5,29.3,28.7,29.4
P241254-3,M,xx726,Control,4/1/24,26.6,23.9,26.7,26.4,26.6,26.2,27.2,27.2
P241254-4,M,xx150,Control,4/1/24,24.5,23.5,24.5,24,24.6,24.3,24.5,25.5
P241256-1,M,xx781,LBN,3/30/24,23.7,23.5,24.4,23.6,24,23.8,23.7,24.2
P241256-2,M,xx099,LBN,3/30/24,25.5,25.1,24.8,25.6,27.7,28,27.2,27.4
P241256-3,M,xx956,LBN,3/30/24,21.2,20.5,20.8,20.5,21.2,21.6,21.8,22.2
P241256-4,M,xx025,LBN,3/30/24,23.6,23.6,23.8,24,24.7,24.4,24,24.5
P241264-1,M,xx604,LBN,4/1/24,24.2,22.7,24.6,24.5,26.3,26.4,26.5,26.7
P241264-2,M,xx633,LBN,4/1/24,24.5,23.4,24,24,24.6,24.2,24,26.1
P241264-3,M,xx526,LBN,4/1/24,24.1,23.3,23.2,23.4,23.8,23.4,23.5,25.7
P241264-4,M,xx635,LBN,4/1/24,24,23.3,23.8,23.6,23.6,23,22.7,22.8
